site,title,time,predicted_class,label_name
Yahoo Finance,Charged: Tesla to restart shipping Chinese parts for U.S. production,2025-05-20 11:10:16 EDT,1,neutral
Yahoo Finance,Amazon's Zoox Expands Robotaxi Testing to Atlanta,2025-05-20 10:47:22 EDT,2,positive
Yahoo Finance,"This Artificial Intelligence (AI) Chipmaker Just Got a Game-Changing Boost From Amazon, and Nvidia Investors Should Be Paying Close Attention",2025-05-20 09:45:00 EDT,1,neutral
Yahoo Finance,"Amazon's APS, Magnite Partner to Expand Advertising Collaboration",2025-05-20 08:51:00 EDT,1,neutral
Yahoo Finance,"Meet Amazon’s 38-year old supply chain guru, helping CEO Andy Jassy navigate tariff chaos with a giant fleet of planes, trucks, and robots",2025-05-20 08:17:00 EDT,2,positive
Yahoo Finance,Crypto scores a victory as GENIUS Act stablecoin legislation stays alive in Senate,2025-05-20 07:45:38 EDT,2,positive
Yahoo Finance,3 Unstoppable Tech Stocks to Buy Hand Over Fist,2025-05-20 07:45:00 EDT,1,neutral
Yahoo Finance,Technical Assessment: Bullish in the Intermediate-Term,2025-05-20 06:55:37 EDT,2,positive
Yahoo Finance,4 Reasons to Buy Amazon Stock Like There's No Tomorrow,2025-05-20 05:45:00 EDT,1,neutral
Yahoo Finance,"1 Unstoppable Stock That Could Join Nvidia, Apple, and Microsoft in the $3 Trillion Club in 2026",2025-05-20 04:56:00 EDT,1,neutral
Yahoo Finance,3 Mega-Cap Stocks with Mounting Challenges,2025-05-20 00:39:06 EDT,0,negative
Yahoo Finance,Online Retail Stocks Q1 Recap: Benchmarking Revolve (NYSE:RVLV),2025-05-19 23:32:23 EDT,1,neutral
Yahoo Finance,"Dow Jones Futures: Amazon, Broadcom, Meta, Palantir In Or Near Buy Zones",2025-05-19 22:21:38 EDT,1,neutral
Yahoo Finance,Netflix stock downgraded on valuation concerns despite recent defensive strength,2025-05-19 16:05:05 EDT,0,negative
Yahoo Finance,Microsoft goes all in on AI agents at annual Build conference,2025-05-19 12:00:23 EDT,1,neutral
Yahoo Finance,Are Amazon’s Warehouses Facing an ‘Injury Crisis’?,2025-05-19 10:00:00 EDT,1,neutral
Yahoo Finance,3 Reasons Amazon Stock Looks Like an Incredible Bargain Right Now,2025-05-19 09:30:00 EDT,2,positive
Yahoo Finance,1 Artificial Intelligence (AI) Stock to Buy No Matter What Happens With Tariffs,2025-05-19 08:35:00 EDT,1,neutral
Yahoo Finance,This could be another market surprise after the Moody's US credit rating downgrade,2025-05-19 08:09:56 EDT,1,neutral
Yahoo Finance,Amazon plans fourth robotics fulfillment center in Virginia,2025-05-19 07:00:00 EDT,1,neutral
Finviz,Ulta Stock Catches Oppenheimer's Eye Ahead of Earnings Release Next Week,2025-05-20 12:48:00 EDT,1,neutral
Finviz,Amazon reportedly exploring foldable phone,2025-05-20 11:33:00 EDT,1,neutral
Finviz,Charged: Tesla to restart shipping Chinese parts for U.S. production,2025-05-20 11:10:00 EDT,1,neutral
Finviz,Criteo Stock Plunges 29% YTD: Should You Buy the Dip or Wait?,2025-05-20 10:59:00 EDT,1,neutral
Finviz,"This Artificial Intelligence (AI) Chipmaker Just Got a Game-Changing Boost From Amazon, and Nvidia Investors Should Be Paying Close Attention",2025-05-20 09:45:00 EDT,1,neutral
Finviz,"Meet Amazons 38-year old supply chain guru, helping CEO Andy Jassy navigate tariff chaos with a giant fleet of planes, trucks, and robots",2025-05-20 08:17:00 EDT,2,positive
Finviz,Crypto scores a victory as stablecoin legislation stays alive in Senate,2025-05-20 07:45:00 EDT,2,positive
Finviz,Crypto scores a victory as GENIUS Act stablecoin legislation stays alive in Senate,2025-05-20 07:45:00 EDT,2,positive
Finviz,3 Unstoppable Tech Stocks to Buy Hand Over Fist,2025-05-20 07:45:00 EDT,1,neutral
Finviz,4 Reasons to Buy Amazon Stock Like There's No Tomorrow,2025-05-20 05:45:00 EDT,1,neutral
Finviz,"1 Unstoppable Stock That Could Join Nvidia, Apple, and Microsoft in the $3 Trillion Club in 2026",2025-05-20 04:56:00 EDT,1,neutral
Finviz,3 Mega-Cap Stocks with Mounting Challenges,2025-05-20 00:39:00 EDT,0,negative
Finviz,5 Stocks That Could Create Lasting Generational Wealth,2025-05-19 20:00:00 EDT,2,positive
Finviz,Netflix stock downgraded on valuation concerns despite recent defensive strength,2025-05-19 16:05:00 EDT,0,negative
Finviz,Amazon to open fourth Virginia next-gen fulfillment center,2025-05-19 15:25:00 EDT,1,neutral
Finviz,Amazon: Why May Is the Last Month to Get the Stock at a Discount,2025-05-19 14:47:00 EDT,1,neutral
Finviz,Microsoft goes all in on AI agents at annual Build conference,2025-05-19 12:00:00 EDT,1,neutral
Finviz,3 Reasons Why Alibaba Stock May Be a Smart Buy After Q4 Earnings Beat,2025-05-19 10:31:00 EDT,2,positive
Finviz,"Should You Buy, Hold, or Sell Snowflake Stock Before Q1 Earnings?",2025-05-19 10:15:00 EDT,1,neutral
Finviz,UBER vs. GRAB: Which Ride-Hailing Stock is a Stronger Play Now?,2025-05-19 10:11:00 EDT,2,positive
Finviz,Are Amazons Warehouses Facing an Injury Crisis?,2025-05-19 10:00:00 EDT,1,neutral
Finviz,3 Reasons Amazon Stock Looks Like an Incredible Bargain Right Now,2025-05-19 09:30:00 EDT,2,positive
Finviz,1 Artificial Intelligence (AI) Stock to Buy No Matter What Happens With Tariffs,2025-05-19 08:35:00 EDT,1,neutral
Finviz,Magnificent 7 Stocks Shift Toward Stability and Selective Growth,2025-05-19 08:15:00 EDT,2,positive
Finviz,Should You Stay Invested in or Sell CoreWeave Stock Post Q1 Earnings?,2025-05-19 08:12:00 EDT,1,neutral
Finviz,This could be another market surprise after the Moody's US credit rating downgrade,2025-05-19 08:09:00 EDT,1,neutral
Finviz,Amazon plans fourth robotics fulfillment center in Virginia,2025-05-19 07:00:00 EDT,1,neutral
Finviz,"Intel debuts AI GPUs for workstation system as it works to gain ground on Nvidia, AMD",2025-05-19 06:30:00 EDT,2,positive
Finviz,Walmart stock slips as Trump takes aim at retail giant over tariff-fueled price hikes,2025-05-19 05:29:00 EDT,0,negative
Finviz,3 Warren Buffett Stocks to Hold Forever,2025-05-19 05:15:00 EDT,1,neutral
Finviz,"Trump warns Americas businesses: Eat my tariffs, or pay the price",2025-05-19 04:00:00 EDT,1,neutral
Finviz,Bear of the Day: United Parcel Service (UPS),2025-05-19 04:00:00 EDT,1,neutral
Finviz,"Warren Buffett Is Buying a Secret Stock Again -- and Based on Clues, This Is the Company I Believe He's Building a Position In",2025-05-19 03:06:00 EDT,1,neutral
Finviz,"The 2 Best Stocks to Invest $1,000 in Right Now",2025-05-18 18:17:00 EDT,2,positive
Finviz,President Trump Says Walmart Should 'Eat the Tariffs',2025-05-18 17:41:00 EDT,1,neutral
Finviz,Big Tech Breathes Life into Q1 Earnings,2025-05-18 15:26:00 EDT,1,neutral
Finviz,2 No-Brainer Warren Buffett Stocks to Buy Right Now,2025-05-18 11:37:00 EDT,1,neutral
Finviz,Big Tech Goes From Stock Markets Safest Bet to Biggest Question,2025-05-18 08:00:00 EDT,1,neutral
Finviz,3 Tech Stocks Destined to Drive Wealth Now and for Years to Come,2025-05-18 08:00:00 EDT,1,neutral
Finviz,Trade deals in focus amid stock market rebound: What to know this week,2025-05-18 07:30:00 EDT,1,neutral
Finviz,Here's Why Amazon Is a Brilliant Buy Now (Hint: It's Not E-Commerce),2025-05-18 07:15:00 EDT,2,positive
Finviz,Borderlands Mexico: Cargo crime continues to disrupt Mexican transport sector,2025-05-18 07:00:00 EDT,0,negative
Finviz,Trump tariff uncertainty still makes earnings estimates and guidance useless,2025-05-18 06:00:00 EDT,1,neutral
Finviz,Got $100? 3 Top Growth Stocks to Buy That Could Double Your Money,2025-05-18 05:47:00 EDT,2,positive
Finviz,32.9% of Warren Buffett's $286 Billion Portfolio Is Invested in 3 Artificial Intelligence (AI) Stocks,2025-05-18 04:51:00 EDT,1,neutral
Finviz,Prediction: This Will Be Wall Street's First $10 Trillion Company -- And It's Not Apple,2025-05-18 04:15:00 EDT,1,neutral
Finviz,"Jeff Bezos Once Told Employees, 'I Predict One Day Amazon Will Fail. Amazon Will Go Bankrupt'  But His Goal Was To 'Try And Delay' The Inevitable",2025-05-17 20:00:00 EDT,1,neutral
Finviz,My 3 Favorite Stocks to Buy Right Now,2025-05-17 18:05:00 EDT,2,positive
Finviz,5 Supercharged Growth Stocks I Bought During Last Month's Stock Market Crash,2025-05-17 18:01:00 EDT,1,neutral
Finviz,1 Monster Stock to Hold for the Next 5 Years,2025-05-17 16:30:00 EDT,1,neutral
Finviz,AI Daily: Nvidia says not sending GPU designs to China,2025-05-17 13:36:00 EDT,1,neutral
Finviz,"Anthropic closes $2.5B credit facility, CNBC reports",2025-05-17 13:15:00 EDT,1,neutral
Finviz,"Walmart should 'eat the tariffs,' Trump says, after retailer warns of looming price hikes",2025-05-17 11:51:00 EDT,0,negative
Finviz,Could Buying Amazon Today Set You Up for Life?,2025-05-17 11:03:00 EDT,1,neutral
Finviz,Prediction: This Artificial Intelligence (AI) Data Center Stock -- Backed by Nvidia and Billionaire Jeff Bezos -- Could Go Parabolic After May 20,2025-05-17 10:05:00 EDT,1,neutral
Finviz,This week in Trumponomics: Everyday higher prices,2025-05-17 10:00:00 EDT,1,neutral
Finviz,Nvidia-backed CoreWeave soars 100% since IPO as investors see AI demand outweighing 'risky' business model,2025-05-17 09:00:00 EDT,2,positive
Finviz,"3 Top Stocks to Buy With $5,000 Today and Hold Forever",2025-05-17 08:00:00 EDT,1,neutral
Finviz,MarketBeat Week in Review - 05/12 - 05/16,2025-05-17 07:00:00 EDT,2,positive
Finviz,"In a Trade War, Walmart Lacks Some of Amazons Ammunition",2025-05-17 05:30:00 EDT,1,neutral
Finviz,"Meet the Unstoppable Vanguard ETF With 54.9% of Its Portfolio Invested in the ""Magnificent Seven"" Stocks",2025-05-17 04:38:00 EDT,1,neutral
Finviz,Prediction: This AI Stock Will Be Worth More Than Apple By the End of 2025,2025-05-17 04:35:00 EDT,1,neutral
Finviz,"Billionaire CEO Jamie Dimon Says a Recession Isn't ""Off the Table at This Point,"" Despite Lowering Tariffs. 5 Ways to Help Protect Your Stock Portfolio in Any Market Environment.",2025-05-17 04:20:00 EDT,1,neutral
Finviz,BofA makes FedEx price target decision after Amazon deal leak,2025-05-16 16:00:00 EDT,1,neutral
Finviz,"Amazon, Home Depot get early start on Memorial Day promotions",2025-05-16 15:12:00 EDT,1,neutral
Finviz,"President Trump's China Tariff Cuts Revive Shipping Sector, But Uncertainty Remains",2025-05-16 15:06:00 EDT,1,neutral
Finviz,Why Microsofts (MSFT) Build 2025 Could Be a Breakout Moment for AI-Driven Growth,2025-05-16 13:05:00 EDT,2,positive
Finviz,Nvidia stock set for 15% weekly gain as trade news boosts AI chipmaker,2025-05-16 12:17:00 EDT,2,positive
Finviz,Nvidia stock set for 15% weekly gain as trade news boosts AI chip,2025-05-16 12:17:00 EDT,2,positive
Finviz,Nvidia stock notches 16% weekly gain as trade news boosts AI chipmaker,2025-05-16 12:17:00 EDT,2,positive
Finviz,"Should You Buy, Sell or Hold INOD Stock After Q1 Earnings Beat?",2025-05-16 12:12:00 EDT,2,positive
Finviz,BigBear.ai Stock 65% Below Its 52-Week High: Buy the Dip or Stay Away?,2025-05-16 10:27:00 EDT,1,neutral
Finviz,Nvidia customers will push into AI until they 'become irrelevant',2025-05-16 10:10:00 EDT,1,neutral
Finviz,Nvidia Shares Roar Back as Clouds Hanging Over Chipmaker Fade,2025-05-16 09:48:00 EDT,1,neutral
Finviz,How Should You Play Nebius Stock Going Into Q1 Earnings?,2025-05-16 09:36:00 EDT,1,neutral
Finviz,"Amazon.com, Inc. (AMZN) Is a Trending Stock: Facts to Know Before Betting on It",2025-05-16 09:00:00 EDT,1,neutral
Finviz,The Smartest Growth Stock to Buy With $250 Right Now,2025-05-16 08:15:00 EDT,2,positive
Finviz,Amazon and Gopuff partner for rapid grocery delivery in UK,2025-05-16 07:43:00 EDT,1,neutral
Finviz,Exclusive: Stord raises $200 million in equity and debt to empower brands competing with Amazon,2025-05-16 07:28:00 EDT,2,positive
Finviz,Prediction: MercadoLibre Will Beat the Market. Here's Why.,2025-05-16 07:11:00 EDT,1,neutral
Finviz,"Weeks after Amazon's Alexa+ AI launch, a mystery: where are the users?",2025-05-16 06:05:00 EDT,1,neutral
Finviz,Better U.S.-China Tariff Deal Buy: Amazon vs Nvidia,2025-05-16 05:10:00 EDT,2,positive
Finviz,My Top Artificial Intelligence (AI) Stock to Buy in 2025 and Hold Forever,2025-05-16 04:05:00 EDT,1,neutral
Finviz,"Away, an Original Internet Darling, Will Sell Its Luggage in More Places",2025-05-15 18:30:00 EDT,1,neutral
Finviz,"Amazon.com, Inc. (AMZN) Deepens AI Push With AWS - PagerDuty Deal To Power Global Ops Cloud",2025-05-15 18:01:00 EDT,1,neutral
Finviz,Why retail traders are jumping back into Nvidia and Apple,2025-05-15 17:55:00 EDT,1,neutral
Finviz,Jeff Bezos Became A Billionaire After Taking This Leap Of Faith: Would You Have The Stomach For His 'Regret-Minimization' Strategy?,2025-05-15 17:30:00 EDT,1,neutral
Finviz,"WSJ Retail Reporter: How Walmarts Price Hikes Affect Shoppers, Competitors",2025-05-15 16:43:00 EDT,1,neutral
Finviz,Amazon reveals new warehouse robots in push to trim manual tasks,2025-05-15 12:20:00 EDT,1,neutral
Finviz,"Veteran Investor Is Bullish on Amazon.com, Inc. (AMZN) Stock",2025-05-15 12:19:00 EDT,2,positive
Finviz,Trump tariffs set to unleash double-digit price increases in some Walmart departments: CFO,2025-05-15 11:16:00 EDT,1,neutral
Finviz,"Trump tariffs set to unleash double-digit price increases in some Walmart departments, says its CFO",2025-05-15 11:16:00 EDT,1,neutral
Finviz,Heres what Wall Street experts are saying about Walmart ahead of earnings,2025-05-15 10:50:00 EDT,1,neutral
Finviz,Spotify Stock Skyrockets 112% in a Year: What's Next for Investors?,2025-05-15 10:24:00 EDT,1,neutral
Finviz,Walmart and Amazon prices are going up despite Trumps China tariff reduction,2025-05-15 09:58:00 EDT,1,neutral
Finviz,Why Wall Street's biggest bear still expects a recession and much lower stock prices,2025-05-15 09:20:00 EDT,0,negative
Finviz,Prediction: This Artificial Intelligence (AI) Stock Could Be Worth More Than Nvidia by 2030,2025-05-15 09:00:00 EDT,1,neutral
Finviz,Best Gig Economy Stocks to Monitor Amid its Growing Popularity,2025-05-15 08:53:00 EDT,2,positive
Finviz,Amazon cuts jobs in devices and services division,2025-05-15 07:14:00 EDT,0,negative
Finviz,Tariffs Have Crushed Amazon Stock. Here's Why It Could Still Become Wall Street's First $5 Trillion Company Instead of Nvidia.,2025-05-15 06:00:00 EDT,0,negative
